2024-04-18 23:53:44,104 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Configure stats pid to 10143
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Loading settings from /Users/charles/.config/wandb/settings
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Loading settings from /Users/charles/Workspace/Columbia/AML_COMSW4995/project/ai-yoga-trainer/wandb/settings
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'debug_transformers.py', 'program_abspath': '/Users/charles/Workspace/Columbia/AML_COMSW4995/project/ai-yoga-trainer/debug_transformers.py', 'program': '/Users/charles/Workspace/Columbia/AML_COMSW4995/project/ai-yoga-trainer/debug_transformers.py'}
2024-04-18 23:53:44,105 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-18 23:53:44,106 INFO    MainThread:10143 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-04-18 23:53:44,106 INFO    MainThread:10143 [wandb_init.py:_log_setup():521] Logging user logs to /Users/charles/Workspace/Columbia/AML_COMSW4995/project/ai-yoga-trainer/wandb/offline-run-20240418_235344-1fgt9glq/logs/debug.log
2024-04-18 23:53:44,106 INFO    MainThread:10143 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/charles/Workspace/Columbia/AML_COMSW4995/project/ai-yoga-trainer/wandb/offline-run-20240418_235344-1fgt9glq/logs/debug-internal.log
2024-04-18 23:53:44,107 INFO    MainThread:10143 [wandb_init.py:init():561] calling init triggers
2024-04-18 23:53:44,107 INFO    MainThread:10143 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {}
2024-04-18 23:53:44,107 INFO    MainThread:10143 [wandb_init.py:init():611] starting backend
2024-04-18 23:53:44,107 INFO    MainThread:10143 [wandb_init.py:init():615] setting up manager
2024-04-18 23:53:44,112 INFO    MainThread:10143 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-18 23:53:44,117 INFO    MainThread:10143 [wandb_init.py:init():623] backend started and connected
2024-04-18 23:53:44,127 INFO    MainThread:10143 [wandb_init.py:init():715] updated telemetry
2024-04-18 23:53:44,200 INFO    MainThread:10143 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-18 23:53:44,221 INFO    MainThread:10143 [wandb_init.py:init():799] starting run threads in backend
2024-04-18 23:53:52,238 INFO    MainThread:10143 [wandb_run.py:_console_start():2335] atexit reg
2024-04-18 23:53:52,238 INFO    MainThread:10143 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-18 23:53:52,239 INFO    MainThread:10143 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-18 23:53:52,239 INFO    MainThread:10143 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-18 23:53:52,240 INFO    MainThread:10143 [wandb_init.py:init():842] run started, returning control to user process
